sampleplotid,x,y,measurementdate,g,d,h,v,v.ma,v.ku,v.lp,myear,filename.1,a.date.1,a.window.1,filename.2,a.date.2,a.window.2,v.lp.proc
908034,313576.89,6918313.48,2013,23.2,14.1,13.4,158.06,150.86,0,7.2,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212A3.laz,2013-07-11,C,NA,NA,NA,5
908035,313835.66,6918551.89,2013,11,22.6,14.4,77.62,68.45,0,9.17,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212A3.laz,2013-07-11,C,NA,NA,NA,12
908036,314091.26,6918548.81,2013,7.4,15.9,9.4,38.48,38.48,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212C1.laz,2013-07-11,C,NA,NA,NA,0
908037,314333.23,6918552.36,2013,13.4,11.5,10.6,74.6,73.26,0,1.34,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212C1.laz,2013-07-11,C,NA,NA,NA,2
908038,314585.33,6918549.52,2013,13.2,17.3,14.4,94.04,87.8,0,6.24,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212C1.laz,2013-07-11,C,NA,NA,NA,7
908043,317890.77,6918053.17,2013,14.2,22.7,17.1,116.52,116.11,0,0.41,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212C3.laz,2013-07-11,C,NA,NA,NA,0
908045,318138.24,6918548.3,2013,23.5,11.1,11,135.33,134.78,0,0.55,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212C3.laz,2013-07-11,C,NA,NA,NA,0
908048,318885.29,6918549.75,2013,15.6,21.5,16.8,127.27,124.86,0,2.41,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212C3.laz,2013-07-11,C,NA,NA,NA,2
908051,322185.23,6917546.07,2013,31.2,22.7,18.9,283.02,0,243.56,39.46,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4211F2.laz,2013-07-11,C,NA,NA,NA,14
908052,322190.14,6917799.66,2013,15.5,20.8,17.9,133.74,127.71,1.73,4.29,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4211F2.laz,2013-07-11,C,NA,NA,NA,3
908053,322186.97,6918051.1,2013,9.2,16,14.2,65.13,64.06,0,1.08,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212E1.laz,2013-07-11,C,NA,NA,NA,2
908054,322191.52,6918302.59,2013,14.1,17.5,16.5,114.53,114.16,0,0.36,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212E1.laz,2013-07-11,C,NA,NA,NA,0
908055,322438.27,6918549.38,2013,14.3,17.5,15.4,108.18,103.71,0,4.47,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212E1.laz,2013-07-11,C,NA,NA,NA,4
908056,322685.34,6918552.32,2013,25.3,16.3,15.8,197.02,190.93,0,6.1,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212E1.laz,2013-07-11,C,NA,NA,NA,3
